Year,City,Population,Crime Type,Number of Cases
2021,Kanpur,29.2,Murder,48
2014,Kochi,21.2,Murder,13
2015,Kochi,21.2,Murder,12
2016,Kochi,21.2,Murder,10
2017,Kochi,21.2,Murder,11
2018,Kochi,21.2,Murder,12
2019,Kochi,21.2,Murder,22
2020,Kochi,21.2,Murder,9
2021,Kochi,21.2,Murder,10
2014,Kolkata,141.1,Murder,74
2015,Kolkata,141.1,Murder,65
2016,Kolkata,141.1,Murder,78
2017,Kolkata,141.1,Murder,64
2018,Kolkata,141.1,Murder,55
2019,Kolkata,141.1,Murder,50
2020,Kolkata,141.1,Murder,53
2021,Kolkata,141.1,Murder,45
2014,Kozhikode,20.3,Murder,8
2015,Kozhikode,20.3,Murder,4
2016,Kozhikode,20.3,Murder,3
2017,Kozhikode,20.3,Murder,7
2018,Kozhikode,20.3,Murder,8
2019,Kozhikode,20.3,Murder,7
2020,Kozhikode,20.3,Murder,5
2021,Kozhikode,20.3,Murder,5
2014,Lucknow,29.0,Murder,107
2015,Lucknow,29.0,Murder,99
2016,Lucknow,29.0,Murder,97
2017,Lucknow,29.0,Murder,79
2018,Lucknow,29.0,Murder,84
2019,Lucknow,29.0,Murder,75
2020,Lucknow,29.0,Murder,81
2021,Lucknow,29.0,Murder,101
2014,Mumbai,184.1,Murder,183
2015,Mumbai,184.1,Murder,160
2016,Mumbai,184.1,Murder,147
2017,Mumbai,184.1,Murder,127
2018,Mumbai,184.1,Murder,164
2019,Mumbai,184.1,Murder,168
2020,Mumbai,184.1,Murder,148
2021,Mumbai,184.1,Murder,162
2014,Nagpur,25.0,Murder,103
2015,Nagpur,25.0,Murder,88
2016,Nagpur,25.0,Murder,92
2017,Nagpur,25.0,Murder,85
2018,Nagpur,25.0,Murder,72
2019,Nagpur,25.0,Murder,90
2020,Nagpur,25.0,Murder,97
2021,Nagpur,25.0,Murder,95
2014,Patna,20.5,Murder,205
2015,Patna,20.5,Murder,190
2016,Patna,20.5,Murder,195
2017,Patna,20.5,Murder,183
2018,Patna,20.5,Murder,91
2019,Patna,20.5,Murder,96
2020,Patna,20.5,Murder,79
2021,Patna,20.5,Murder,76
2014,Pune,50.5,Murder,138
2015,Pune,50.5,Murder,125
2016,Pune,50.5,Murder,130
2017,Pune,50.5,Murder,110
2018,Pune,50.5,Murder,73
2019,Pune,50.5,Murder,74
2020,Pune,50.5,Murder,77
2021,Pune,50.5,Murder,100
2014,Surat,45.8,Murder,85
2015,Surat,45.8,Murder,90
2016,Surat,45.8,Murder,102
2017,Surat,45.8,Murder,89
2018,Surat,45.8,Murder,108
2019,Surat,45.8,Murder,97
2020,Surat,45.8,Murder,116
2021,Surat,45.8,Murder,121
2014,Ahmedabad,63.5,Kidnapping,367
2015,Ahmedabad,63.5,Kidnapping,332
2016,Ahmedabad,63.5,Kidnapping,376
2017,Ahmedabad,63.5,Kidnapping,263
2018,Ahmedabad,63.5,Kidnapping,277
2019,Ahmedabad,63.5,Kidnapping,248
2020,Ahmedabad,63.5,Kidnapping,181
2021,Ahmedabad,63.5,Kidnapping,183
2014,Bengaluru,85.0,Kidnapping,708
2015,Bengaluru,85.0,Kidnapping,777
2016,Bengaluru,85.0,Kidnapping,974
2017,Bengaluru,85.0,Kidnapping,1050
2018,Bengaluru,85.0,Kidnapping,1090
2019,Bengaluru,85.0,Kidnapping,1053
2020,Bengaluru,85.0,Kidnapping,712
2021,Bengaluru,85.0,Kidnapping,811
2014,Chennai,87.0,Kidnapping,36
2015,Chennai,87.0,Kidnapping,37
2016,Chennai,87.0,Kidnapping,34
2017,Chennai,87.0,Kidnapping,54
2018,Chennai,87.0,Kidnapping,56
2019,Chennai,87.0,Kidnapping,49
2020,Chennai,87.0,Kidnapping,37
2021,Chennai,87.0,Kidnapping,71
2014,Coimbatore,21.5,Kidnapping,14
2015,Coimbatore,21.5,Kidnapping,10
2016,Coimbatore,21.5,Kidnapping,8
2017,Coimbatore,21.5,Kidnapping,5
2018,Coimbatore,21.5,Kidnapping,10
2019,Coimbatore,21.5,Kidnapping,7
2020,Coimbatore,21.5,Kidnapping,4
2021,Coimbatore,21.5,Kidnapping,11
2014,Delhi,163.1,Kidnapping,6016
2015,Delhi,163.1,Kidnapping,6630
2016,Delhi,163.1,Kidnapping,5925
2017,Delhi,163.1,Kidnapping,5203
2018,Delhi,163.1,Kidnapping,5124
2019,Delhi,163.1,Kidnapping,5746
2020,Delhi,163.1,Kidnapping,4011
2021,Delhi,163.1,Kidnapping,5475
2014,Ghaziabad,23.6,Kidnapping,276
2015,Ghaziabad,23.6,Kidnapping,315
2016,Ghaziabad,23.6,Kidnapping,368
2017,Ghaziabad,23.6,Kidnapping,532
2018,Ghaziabad,23.6,Kidnapping,547
2019,Ghaziabad,23.6,Kidnapping,408
2020,Ghaziabad,23.6,Kidnapping,78
2021,Ghaziabad,23.6,Kidnapping,50
2014,Hyderabad,77.5,Kidnapping,374
2015,Hyderabad,77.5,Kidnapping,332
2016,Hyderabad,77.5,Kidnapping,359
2017,Hyderabad,77.5,Kidnapping,341
2018,Hyderabad,77.5,Kidnapping,411
2019,Hyderabad,77.5,Kidnapping,519
2020,Hyderabad,77.5,Kidnapping,451
2021,Hyderabad,77.5,Kidnapping,513
2014,Indore,21.7,Kidnapping,439
2015,Indore,21.7,Kidnapping,453
2016,Indore,21.7,Kidnapping,383
2017,Indore,21.7,Kidnapping,669
2018,Indore,21.7,Kidnapping,523
2019,Indore,21.7,Kidnapping,585
2020,Indore,21.7,Kidnapping,466
2021,Indore,21.7,Kidnapping,694
2014,Jaipur,30.7,Kidnapping,653
2015,Jaipur,30.7,Kidnapping,630
2016,Jaipur,30.7,Kidnapping,569
2017,Jaipur,30.7,Kidnapping,520
2018,Jaipur,30.7,Kidnapping,537
2019,Jaipur,30.7,Kidnapping,829
2020,Jaipur,30.7,Kidnapping,532
2021,Jaipur,30.7,Kidnapping,613
2014,Kanpur,29.2,Kidnapping,233
2015,Kanpur,29.2,Kidnapping,259
2016,Kanpur,29.2,Kidnapping,409
2017,Kanpur,29.2,Kidnapping,541
2018,Kanpur,29.2,Kidnapping,541
2019,Kanpur,29.2,Kidnapping,292
2020,Kanpur,29.2,Kidnapping,223
2021,Kanpur,29.2,Kidnapping,152
2014,Kochi,21.2,Kidnapping,4
2015,Kochi,21.2,Kidnapping,13
2016,Kochi,21.2,Kidnapping,14
2017,Kochi,21.2,Kidnapping,19
2018,Kochi,21.2,Kidnapping,11
2019,Kochi,21.2,Kidnapping,21
2020,Kochi,21.2,Kidnapping,15
2021,Kochi,21.2,Kidnapping,13
2014,Kolkata,141.1,Kidnapping,343
2015,Kolkata,141.1,Kidnapping,312
2016,Kolkata,141.1,Kidnapping,290
2017,Kolkata,141.1,Kidnapping,374
2018,Kolkata,141.1,Kidnapping,378
2019,Kolkata,141.1,Kidnapping,220
2020,Kolkata,141.1,Kidnapping,308
2021,Kolkata,141.1,Kidnapping,346
2014,Kozhikode,20.3,Kidnapping,2
2015,Kozhikode,20.3,Kidnapping,10
2016,Kozhikode,20.3,Kidnapping,7
2017,Kozhikode,20.3,Kidnapping,13
2018,Kozhikode,20.3,Kidnapping,19
2019,Kozhikode,20.3,Kidnapping,27
2020,Kozhikode,20.3,Kidnapping,12
2021,Kozhikode,20.3,Kidnapping,21
2014,Lucknow,29.0,Kidnapping,348
2015,Lucknow,29.0,Kidnapping,285
2016,Lucknow,29.0,Kidnapping,924
2017,Lucknow,29.0,Kidnapping,684
2018,Lucknow,29.0,Kidnapping,1112
2019,Lucknow,29.0,Kidnapping,269
2020,Lucknow,29.0,Kidnapping,735
2021,Lucknow,29.0,Kidnapping,773
2014,Mumbai,184.1,Kidnapping,541
2015,Mumbai,184.1,Kidnapping,1583
2016,Mumbai,184.1,Kidnapping,1949
2017,Mumbai,184.1,Kidnapping,2159
2018,Mumbai,184.1,Kidnapping,2202
2019,Mumbai,184.1,Kidnapping,2102
2020,Mumbai,184.1,Kidnapping,1173
2021,Mumbai,184.1,Kidnapping,1590
2014,Nagpur,25.0,Kidnapping,145
2015,Nagpur,25.0,Kidnapping,355
2016,Nagpur,25.0,Kidnapping,509
2017,Nagpur,25.0,Kidnapping,494
2018,Nagpur,25.0,Kidnapping,498
2019,Nagpur,25.0,Kidnapping,536
2020,Nagpur,25.0,Kidnapping,334
2021,Nagpur,25.0,Kidnapping,415
2014,Patna,20.5,Kidnapping,599
2015,Patna,20.5,Kidnapping,869
2016,Patna,20.5,Kidnapping,822
2017,Patna,20.5,Kidnapping,542
2018,Patna,20.5,Kidnapping,806
2019,Patna,20.5,Kidnapping,795
2020,Patna,20.5,Kidnapping,427
2021,Patna,20.5,Kidnapping,549
2014,Pune,50.5,Kidnapping,228
2015,Pune,50.5,Kidnapping,707
2016,Pune,50.5,Kidnapping,851
2017,Pune,50.5,Kidnapping,964
2018,Pune,50.5,Kidnapping,636
2019,Pune,50.5,Kidnapping,655
2020,Pune,50.5,Kidnapping,435
2021,Pune,50.5,Kidnapping,571
2014,Surat,45.8,Kidnapping,263
2015,Surat,45.8,Kidnapping,247
2016,Surat,45.8,Kidnapping,270
2017,Surat,45.8,Kidnapping,332
2018,Surat,45.8,Kidnapping,373
2019,Surat,45.8,Kidnapping,358
2020,Surat,45.8,Kidnapping,163
2021,Surat,45.8,Kidnapping,270
2014,Ahmedabad,63.5,Crime against women,1371
2015,Ahmedabad,63.5,Crime against women,1067
2016,Ahmedabad,63.5,Crime against women,1126
2017,Ahmedabad,63.5,Crime against women,1405
2018,Ahmedabad,63.5,Crime against women,1416
2019,Ahmedabad,63.5,Crime against women,1633
2020,Ahmedabad,63.5,Crime against women,1524
2021,Ahmedabad,63.5,Crime against women,1554
2014,Bengaluru,85.0,Crime against women,3100
2015,Bengaluru,85.0,Crime against women,3109
2016,Bengaluru,85.0,Crime against women,3412
2017,Bengaluru,85.0,Crime against women,3565
2018,Bengaluru,85.0,Crime against women,3427
2019,Bengaluru,85.0,Crime against women,3486
2020,Bengaluru,85.0,Crime against women,2730
2021,Bengaluru,85.0,Crime against women,3127
2014,Chennai,87.0,Crime against women,906
2015,Chennai,87.0,Crime against women,533
2016,Chennai,87.0,Crime against women,544
2017,Chennai,87.0,Crime against women,642
2018,Chennai,87.0,Crime against women,761
2019,Chennai,87.0,Crime against women,723
2020,Chennai,87.0,Crime against women,576
2021,Chennai,87.0,Crime against women,874
2014,Coimbatore,21.5,Crime against women,105
2015,Coimbatore,21.5,Crime against women,109
2016,Coimbatore,21.5,Crime against women,102
2017,Coimbatore,21.5,Crime against women,76
2018,Coimbatore,21.5,Crime against women,107
2019,Coimbatore,21.5,Crime against women,85
2020,Coimbatore,21.5,Crime against women,97
2021,Coimbatore,21.5,Crime against women,190
2014,Delhi,163.1,Crime against women,13260
2015,Delhi,163.1,Crime against women,13502
2016,Delhi,163.1,Crime against women,13803
2017,Delhi,163.1,Crime against women,11542
2018,Delhi,163.1,Crime against women,11724
2019,Delhi,163.1,Crime against women,12902
2020,Delhi,163.1,Crime against women,9782
2021,Delhi,163.1,Crime against women,13982
2014,Ghaziabad,23.6,Crime against women,1027
2015,Ghaziabad,23.6,Crime against women,904
2016,Ghaziabad,23.6,Crime against women,1031
2017,Ghaziabad,23.6,Crime against women,1166
2018,Ghaziabad,23.6,Crime against women,1128
2019,Ghaziabad,23.6,Crime against women,793
2020,Ghaziabad,23.6,Crime against women,341
2021,Ghaziabad,23.6,Crime against women,591
2014,Hyderabad,77.5,Crime against women,2128
2015,Hyderabad,77.5,Crime against women,2450
2016,Hyderabad,77.5,Crime against women,2419
2017,Hyderabad,77.5,Crime against women,2272
2018,Hyderabad,77.5,Crime against women,2332
2019,Hyderabad,77.5,Crime against women,2755
2020,Hyderabad,77.5,Crime against women,2390
2021,Hyderabad,77.5,Crime against women,3050
2014,Indore,21.7,Crime against women,941
2015,Indore,21.7,Crime against women,929
2016,Indore,21.7,Crime against women,1055
2017,Indore,21.7,Crime against women,1349
2018,Indore,21.7,Crime against women,1593
2019,Indore,21.7,Crime against women,1755
2020,Indore,21.7,Crime against women,1346
2021,Indore,21.7,Crime against women,1794
2014,Jaipur,30.7,Crime against women,2428
2015,Jaipur,30.7,Crime against women,2201
2016,Jaipur,30.7,Crime against women,2090
2017,Jaipur,30.7,Crime against women,1857
2018,Jaipur,30.7,Crime against women,2030
2019,Jaipur,30.7,Crime against women,3417
2020,Jaipur,30.7,Crime against women,2369
2021,Jaipur,30.7,Crime against women,2827
2014,Kanpur,29.2,Crime against women,859
2015,Kanpur,29.2,Crime against women,817
2016,Kanpur,29.2,Crime against women,1050
2017,Kanpur,29.2,Crime against women,1574
2018,Kanpur,29.2,Crime against women,1574
2019,Kanpur,29.2,Crime against women,1315
2020,Kanpur,29.2,Crime against women,1056
2021,Kanpur,29.2,Crime against women,894
2014,Kochi,21.2,Crime against women,464
2015,Kochi,21.2,Crime against women,408
2016,Kochi,21.2,Crime against women,392
2017,Kochi,21.2,Crime against women,535
2018,Kochi,21.2,Crime against women,537
2019,Kochi,21.2,Crime against women,492
2020,Kochi,21.2,Crime against women,403
2021,Kochi,21.2,Crime against women,531
2014,Kolkata,141.1,Crime against women,2353
2015,Kolkata,141.1,Crime against women,1927
2016,Kolkata,141.1,Crime against women,1693
2017,Kolkata,141.1,Crime against women,1975
2018,Kolkata,141.1,Crime against women,2176
2019,Kolkata,141.1,Crime against women,1474
2020,Kolkata,141.1,Crime against women,2001
2021,Kolkata,141.1,Crime against women,1783
2014,Kozhikode,20.3,Crime against women,343
2015,Kozhikode,20.3,Crime against women,363
2016,Kozhikode,20.3,Crime against women,352
2017,Kozhikode,20.3,Crime against women,347
2018,Kozhikode,20.3,Crime against women,349
2019,Kozhikode,20.3,Crime against women,473
2020,Kozhikode,20.3,Crime against women,394
2021,Kozhikode,20.3,Crime against women,632
2014,Lucknow,29.0,Crime against women,1260
2015,Lucknow,29.0,Crime against women,1461
2016,Lucknow,29.0,Crime against women,2205
2017,Lucknow,29.0,Crime against women,2468
2018,Lucknow,29.0,Crime against women,2736
2019,Lucknow,29.0,Crime against women,2425
2020,Lucknow,29.0,Crime against women,2636
2021,Lucknow,29.0,Crime against women,2161
2014,Mumbai,184.1,Crime against women,3974
2015,Mumbai,184.1,Crime against women,4819
2016,Mumbai,184.1,Crime against women,5128
2017,Mumbai,184.1,Crime against women,5453
2018,Mumbai,184.1,Crime against women,6058
2019,Mumbai,184.1,Crime against women,6519
2020,Mumbai,184.1,Crime against women,4583
2021,Mumbai,184.1,Crime against women,5543
2014,Nagpur,25.0,Crime against women,814
2015,Nagpur,25.0,Crime against women,1312
2016,Nagpur,25.0,Crime against women,1379
2017,Nagpur,25.0,Crime against women,1152
2018,Nagpur,25.0,Crime against women,1083
2019,Nagpur,25.0,Crime against women,1144
2020,Nagpur,25.0,Crime against women,920
2021,Nagpur,25.0,Crime against women,1156
2014,Patna,20.5,Crime against women,1031
2015,Patna,20.5,Crime against women,1340
2016,Patna,20.5,Crime against women,1284
2017,Patna,20.5,Crime against women,870
2018,Patna,20.5,Crime against women,956
2019,Patna,20.5,Crime against women,981
2020,Patna,20.5,Crime against women,495
2021,Patna,20.5,Crime against women,487
2014,Pune,50.5,Crime against women,1327
2015,Pune,50.5,Crime against women,1984
2016,Pune,50.5,Crime against women,2131
2017,Pune,50.5,Crime against women,2032
2018,Pune,50.5,Crime against women,1481
2019,Pune,50.5,Crime against women,1390
2020,Pune,50.5,Crime against women,1055
2021,Pune,50.5,Crime against women,1616
2014,Surat,45.8,Crime against women,694
2015,Surat,45.8,Crime against women,502
2016,Surat,45.8,Crime against women,565
2017,Surat,45.8,Crime against women,559
2018,Surat,45.8,Crime against women,712
2019,Surat,45.8,Crime against women,1015
2020,Surat,45.8,Crime against women,633
2021,Surat,45.8,Crime against women,622
2014,Ahmedabad,63.5,Crime against children,437
2015,Ahmedabad,63.5,Crime against children,609
2016,Ahmedabad,63.5,Crime against children,481
2017,Ahmedabad,63.5,Crime against children,600
2018,Ahmedabad,63.5,Crime against children,733
2019,Ahmedabad,63.5,Crime against children,771
2020,Ahmedabad,63.5,Crime against children,603
2021,Ahmedabad,63.5,Crime against children,691
2014,Bengaluru,85.0,Crime against children,1063
2015,Bengaluru,85.0,Crime against children,1086
2016,Bengaluru,85.0,Crime against children,1333
2017,Bengaluru,85.0,Crime against children,1582
2018,Bengaluru,85.0,Crime against children,1815
2019,Bengaluru,85.0,Crime against children,1488
2020,Bengaluru,85.0,Crime against children,1103
2021,Bengaluru,85.0,Crime against children,1342
2014,Chennai,87.0,Crime against children,205
2015,Chennai,87.0,Crime against children,194
2016,Chennai,87.0,Crime against children,230
2017,Chennai,87.0,Crime against children,249
2018,Chennai,87.0,Crime against children,775
2019,Chennai,87.0,Crime against children,731
2020,Chennai,87.0,Crime against children,306
2021,Chennai,87.0,Crime against children,546
2014,Coimbatore,21.5,Crime against children,22
2015,Coimbatore,21.5,Crime against children,38
2016,Coimbatore,21.5,Crime against children,69
2017,Coimbatore,21.5,Crime against children,32
2018,Coimbatore,21.5,Crime against children,39
2019,Coimbatore,21.5,Crime against children,45
2020,Coimbatore,21.5,Crime against children,111
2021,Coimbatore,21.5,Crime against children,106
2014,Delhi,163.1,Crime against children,8139
2015,Delhi,163.1,Crime against children,8035
2016,Delhi,163.1,Crime against children,7392
2017,Delhi,163.1,Crime against children,6844
2018,Delhi,163.1,Crime against children,6853
2019,Delhi,163.1,Crime against children,7565
2020,Delhi,163.1,Crime against children,5256
2021,Delhi,163.1,Crime against children,7029
2014,Ghaziabad,23.6,Crime against children,191
2015,Ghaziabad,23.6,Crime against children,180
2016,Ghaziabad,23.6,Crime against children,130
2017,Ghaziabad,23.6,Crime against children,42
2018,Ghaziabad,23.6,Crime against children,85
2019,Ghaziabad,23.6,Crime against children,501
2020,Ghaziabad,23.6,Crime against children,140
2021,Ghaziabad,23.6,Crime against children,136
2014,Hyderabad,77.5,Crime against children,463
2015,Hyderabad,77.5,Crime against children,486
2016,Hyderabad,77.5,Crime against children,410
2017,Hyderabad,77.5,Crime against children,385
2018,Hyderabad,77.5,Crime against children,491
2019,Hyderabad,77.5,Crime against children,506
2020,Hyderabad,77.5,Crime against children,467
2021,Hyderabad,77.5,Crime against children,621
2014,Indore,21.7,Crime against children,730
2015,Indore,21.7,Crime against children,478
2016,Indore,21.7,Crime against children,631
2017,Indore,21.7,Crime against children,782
2018,Indore,21.7,Crime against children,962
2019,Indore,21.7,Crime against children,967
2020,Indore,21.7,Crime against children,767
2021,Indore,21.7,Crime against children,1081
2014,Jaipur,30.7,Crime against children,646
2015,Jaipur,30.7,Crime against children,747
2016,Jaipur,30.7,Crime against children,699
2017,Jaipur,30.7,Crime against children,679
2018,Jaipur,30.7,Crime against children,615
2019,Jaipur,30.7,Crime against children,910
2020,Jaipur,30.7,Crime against children,691
2021,Jaipur,30.7,Crime against children,728
2014,Kanpur,29.2,Crime against children,147
2015,Kanpur,29.2,Crime against children,150
2016,Kanpur,29.2,Crime against children,189
2017,Kanpur,29.2,Crime against children,303
2018,Kanpur,29.2,Crime against children,303
2019,Kanpur,29.2,Crime against children,276
2020,Kanpur,29.2,Crime against children,205
2021,Kanpur,29.2,Crime against children,196
2014,Kochi,21.2,Crime against children,75
2015,Kochi,21.2,Crime against children,76
2016,Kochi,21.2,Crime against children,86
2017,Kochi,21.2,Crime against children,138
2018,Kochi,21.2,Crime against children,139
2019,Kochi,21.2,Crime against children,176
2020,Kochi,21.2,Crime against children,126
2021,Kochi,21.2,Crime against children,138
2014,Kolkata,141.1,Crime against children,352
2015,Kolkata,141.1,Crime against children,381
2016,Kolkata,141.1,Crime against children,317
2017,Kolkata,141.1,Crime against children,643
2018,Kolkata,141.1,Crime against children,574
2019,Kolkata,141.1,Crime against children,282
2020,Kolkata,141.1,Crime against children,486
2021,Kolkata,141.1,Crime against children,497
2014,Kozhikode,20.3,Crime against children,68
2015,Kozhikode,20.3,Crime against children,88
2016,Kozhikode,20.3,Crime against children,92
2017,Kozhikode,20.3,Crime against children,132
2018,Kozhikode,20.3,Crime against children,157
2019,Kozhikode,20.3,Crime against children,199
2020,Kozhikode,20.3,Crime against children,137
2021,Kozhikode,20.3,Crime against children,162
2014,Lucknow,29.0,Crime against children,146
2015,Lucknow,29.0,Crime against children,140
2016,Lucknow,29.0,Crime against children,956
2017,Lucknow,29.0,Crime against children,673
2018,Lucknow,29.0,Crime against children,706
2019,Lucknow,29.0,Crime against children,310
2020,Lucknow,29.0,Crime against children,604
2021,Lucknow,29.0,Crime against children,633
2014,Mumbai,184.1,Crime against children,1456
2015,Mumbai,184.1,Crime against children,3187
2016,Mumbai,184.1,Crime against children,3400
2017,Mumbai,184.1,Crime against children,3790
2018,Mumbai,184.1,Crime against children,3511
2019,Mumbai,184.1,Crime against children,3640
2020,Mumbai,184.1,Crime against children,2248
2021,Mumbai,184.1,Crime against children,2762
2014,Nagpur,25.0,Crime against children,411
2015,Nagpur,25.0,Crime against children,693
2016,Nagpur,25.0,Crime against children,693
2017,Nagpur,25.0,Crime against children,725
2018,Nagpur,25.0,Crime against children,699
2019,Nagpur,25.0,Crime against children,793
2020,Nagpur,25.0,Crime against children,582
2021,Nagpur,25.0,Crime against children,936
2014,Patna,20.5,Crime against children,155
2015,Patna,20.5,Crime against children,191
2016,Patna,20.5,Crime against children,378
2017,Patna,20.5,Crime against children,84
2018,Patna,20.5,Crime against children,102
2019,Patna,20.5,Crime against children,255
2020,Patna,20.5,Crime against children,127
2021,Patna,20.5,Crime against children,137
2014,Pune,50.5,Crime against children,437
2015,Pune,50.5,Crime against children,1095
2016,Pune,50.5,Crime against children,1180
2017,Pune,50.5,Crime against children,1335
2018,Pune,50.5,Crime against children,877
2019,Pune,50.5,Crime against children,948
2020,Pune,50.5,Crime against children,665
2021,Pune,50.5,Crime against children,835
2014,Surat,45.8,Crime against children,398
2015,Surat,45.8,Crime against children,393
2016,Surat,45.8,Crime against children,415
2017,Surat,45.8,Crime against children,526
2018,Surat,45.8,Crime against children,1075
2019,Surat,45.8,Crime against children,770
2020,Surat,45.8,Crime against children,419
2021,Surat,45.8,Crime against children,479
2014,Ahmedabad,63.5,Crime Committed by Juveniles,215
2015,Ahmedabad,63.5,Crime Committed by Juveniles,157
2016,Ahmedabad,63.5,Crime Committed by Juveniles,258
2017,Ahmedabad,63.5,Crime Committed by Juveniles,405
2018,Ahmedabad,63.5,Crime Committed by Juveniles,352
2019,Ahmedabad,63.5,Crime Committed by Juveniles,298
2020,Ahmedabad,63.5,Crime Committed by Juveniles,483
2021,Ahmedabad,63.5,Crime Committed by Juveniles,386
2014,Bengaluru,85.0,Crime Committed by Juveniles,107
2015,Bengaluru,85.0,Crime Committed by Juveniles,128
2016,Bengaluru,85.0,Crime Committed by Juveniles,205
2017,Bengaluru,85.0,Crime Committed by Juveniles,215
2018,Bengaluru,85.0,Crime Committed by Juveniles,219
2019,Bengaluru,85.0,Crime Committed by Juveniles,162
2020,Bengaluru,85.0,Crime Committed by Juveniles,171
2021,Bengaluru,85.0,Crime Committed by Juveniles,177
2014,Chennai,87.0,Crime Committed by Juveniles,263
2015,Chennai,87.0,Crime Committed by Juveniles,270
2016,Chennai,87.0,Crime Committed by Juveniles,391
2017,Chennai,87.0,Crime Committed by Juveniles,573
2018,Chennai,87.0,Crime Committed by Juveniles,502
2019,Chennai,87.0,Crime Committed by Juveniles,647
2020,Chennai,87.0,Crime Committed by Juveniles,773
2021,Chennai,87.0,Crime Committed by Juveniles,496
2014,Coimbatore,21.5,Crime Committed by Juveniles,2
2015,Coimbatore,21.5,Crime Committed by Juveniles,54
2016,Coimbatore,21.5,Crime Committed by Juveniles,19
2017,Coimbatore,21.5,Crime Committed by Juveniles,34
2018,Coimbatore,21.5,Crime Committed by Juveniles,62
2019,Coimbatore,21.5,Crime Committed by Juveniles,30
2020,Coimbatore,21.5,Crime Committed by Juveniles,27
2021,Coimbatore,21.5,Crime Committed by Juveniles,19
2014,Delhi,163.1,Crime Committed by Juveniles,1671
2015,Delhi,163.1,Crime Committed by Juveniles,1981
2016,Delhi,163.1,Crime Committed by Juveniles,2368
2017,Delhi,163.1,Crime Committed by Juveniles,2677
2018,Delhi,163.1,Crime Committed by Juveniles,2388
2019,Delhi,163.1,Crime Committed by Juveniles,2760
2020,Delhi,163.1,Crime Committed by Juveniles,2436
2021,Delhi,163.1,Crime Committed by Juveniles,2618
2014,Ghaziabad,23.6,Crime Committed by Juveniles,25
2015,Ghaziabad,23.6,Crime Committed by Juveniles,15
2016,Ghaziabad,23.6,Crime Committed by Juveniles,7
2017,Ghaziabad,23.6,Crime Committed by Juveniles,20
